name,rating,metacritic,release_date,main_genre
The Legend of Zelda: Ocarina of Time,4.38,99,1998-11-21,Action
Soulcalibur (1998),0.0,98,1998-07-30,Fighting
Soulcalibur,4.38,98,1998-07-30,Action
Baldur's Gate III,4.44,97,2023-08-03,Adventure
Metroid Prime,4.35,97,2002-11-17,Action
Perfect Dark,3.98,97,2000-05-22,Action
Super Mario Odyssey,4.42,97,2017-10-27,Arcade
Super Mario Galaxy 2,4.34,97,2010-05-23,Platformer
Super Mario Galaxy,4.35,97,2007-11-01,Platformer
The Legend of Zelda: Breath of the Wild,4.47,97,2017-03-03,Action
Half-Life 2: Update,4.13,96,2015-03-27,Shooter
The Legend of Zelda: Tears of the Kingdom,4.38,96,2023-05-12,Action
Tekken 3,4.37,96,1997-03-20,Fighting
GoldenEye 007 (1997),4.37,96,1997-08-23,Shooter
Gran Turismo,4.33,96,1997-12-22,Racing
Metal Gear Solid 2: Sons of Liberty,4.34,96,2001-11-12,Action
Uncharted 2: Among Thieves,4.38,96,2009-10-13,Action
Half-Life,4.38,96,1998-11-19,Action
Half-Life 2,4.48,96,2004-11-16,Action
BioShock,4.36,96,2007-08-21,Action
